Model,Accuracy,Macro-F1,Weighted-F1,Recall_Fluorite,Recall_RockSalt,Recall_Spinel
Random Forest,0.7792642140468228,0.5615971957470242,0.7630097352225185,0.4148148148148148,0.2815533980582524,0.9317147192716236
XGBoost,0.7748049052396878,0.557152388078314,0.7589291465378423,0.42962962962962964,0.2621359223300971,0.9256449165402124
Extra Trees,0.7725752508361204,0.5351925085425986,0.7490442211732267,0.35555555555555557,0.24271844660194175,0.9408194233687405
Gradient Boosting,0.7670011148272018,0.5260740630179132,0.7477699137494929,0.362962962962963,0.23300970873786409,0.9332321699544764
Hist Gradient Boosting,0.750278706800446,0.517689216576044,0.7343099095700532,0.37037037037037035,0.23300970873786409,0.9089529590288316
AdaBoost,0.7402452619843924,0.5138252052241419,0.7345989856290398,0.4148148148148148,0.23300970873786409,0.8861911987860395
SVM (RBF),0.7246376811594203,0.5140676633739729,0.7232107087898128,0.4074074074074074,0.27184466019417475,0.8603945371775418
MLP (Neural Net),0.7212931995540691,0.4955267765302261,0.715076536741556,0.31851851851851853,0.2815533980582524,0.8725341426403642
Decision Tree,0.6845039018952063,0.4820944260828868,0.6947525249282505,0.4074074074074074,0.2524271844660194,0.8088012139605463
Logistic Regression,0.6488294314381271,0.4847675877455669,0.6843168827081567,0.4444444444444444,0.3592233009708738,0.7359635811836115
Naive Bayes,0.6053511705685619,0.4464010670519309,0.6436862700142871,0.42962962962962964,0.30097087378640774,0.6889226100151745
KNN (k=5),0.34782608695652173,0.3189675014505843,0.39827476280475016,0.4740740740740741,0.5145631067961165,0.2959028831562974
